id,days_since_release,days_until_pop,days_from_pop_to_top,days_from_top_until_leave
17Fd6Yb7mSbinKG8LoWfFl,1407,240,4,182
14WWzenpaEgQZlqPq2nk4v,1506,339,0,116
0QsvXIfqM0zZoerQfsI9lm,1311,144,9,358
3QhJAGDdxt749dFveYVy4M,1470,303,0,69
0tICYNayWWhH9GPeFrfjfD,1225,58,8,188
3XSefjiSHsD34F7clH84xa,1470,303,0,112
3BhctwMUY5Y9xmes194QTq,1470,303,0,54
3cS6YsU197mrdPTyR7nbp7,1456,289,0,196
4tCtwWceOPWzenK2HAIJSb,1386,219,3,183
5GXAXm5YOmYT0kL5jHvYBt,1205,38,25,230
1LTxGBL6yKtfmW3K8EvbSY,1352,185,56,173
1FTsXXwai3jVXhBTLd4e4L,1477,310,0,90
4jswhbcaGqFe8v5uSHlqyb,1241,74,55,174
2aFiaMXmWsM3Vj72F9ksBl,1211,44,4,249
4TZy1wLyHec06pwgFYDh1a,1106,-61,16,328
5Bn6W4bwH7Bw5nMvn8V4xF,1613,446,0,182
68EMU2RD1ECNeOeJ5qAXCV,1590,423,16,401
343YBumqHu19cGoGARUTsd,1091,-76,16,97
0Mh4id8WvrTFOB9RiVitrB,1567,400,3,77
1OAiWI2oPmglaOiv9fdioU,1561,394,19,110
5XRtwljsug3r3XOBy9Bndu,1512,345,56,56
1PSBzsahR2AKwLJgx8ehBj,1036,-131,16,50
5Nw3HvX6k8cB7NjEkqJkij,1225,58,3,87
2ACOWPLUe4A4KuQ5ioD2od,1386,219,3,92
5YdC74tZejyq3vurDOLFYz,1470,303,13,85
0GhaUJVyWwAKDELlAAFWyo,1568,401,0,175
7hA7pMp2Vr1OCC4sWYwaMG,1211,44,19,126
6UZJOc2HBrTp9DYfir9N8n,1232,65,358,189
6bV82DzyaNLjig0tVywear,1568,401,0,56
4Q4jmPHwu0wrJvqrld0FQ6,1092,-75,25,62
4BHzQ9C00ceJxfG16AlNWb,1358,191,2,105
5ITDkudn3l1YoZc2TP0vhN,1274,107,0,58
1cG0umU5TKStygKsPFZ9pY,1204,37,26,154
2FBUoWkIuQXwayw2RNo5l6,1407,240,0,27
3HrvG1d9OZpg6eV4A1dcSk,1218,51,7,294
68y9Wxhai4e17Ywvnz76vY,1358,191,0,41
2rizacJSyD9S1IQUxUxnsK,1261,94,11,75
6S8yTw0KfidwuAq5Y6Bygj,1232,65,20,345
3pM81OKNrV6d2zJb76nQ6M,1225,58,57,154
4NpFX0f0GfJgy92c9ypVxk,1239,72,56,58
4PNi30UilK0CZi2z9wegMQ,1239,72,105,199
6ccKu0LwJzOhLAxBwP2PTk,1817,650,0,54
1D3ODoXHBLpdxolZRHWV1j,1232,65,4,39
716p41p4BQQuUMgOP8ucpF,1180,13,84,74
6V3J5pbU5yBvB5zxPSyP5v,1241,74,56,112
494OU6M7NOf4ICYb4zWCf5,1761,594,259,11
21j9YxYHSzrdcLBX3mb5UL,1358,191,56,309
4xRSLYsW0Y4FCnkFqyuJdF,1274,107,0,0
7clSIA4MRU6LJAoCWWEiuy,1673,506,0,129
1qOLh0tI7trd1zdDKxYZTe,1337,170,1,142
3opvl2S4zhJC9rhRLDDYs1,1491,324,0,0
69uxyAqqPIsUyTO8txoP2M,1561,394,1,101
3pzjHKrQSvXGHQ98dx18HI,1582,415,92,38
7xHWNBFm6ObGEQPaUxHuKO,1239,72,12,90
5ZCwyAL9zbEJVmmNQwt9lE,1288,121,7,53
7129iqBafaphfc3WPCGC0L,1732,565,1,93
