id,days_since_release,days_until_pop,days_from_pop_to_top,days_from_top_until_leave
4i5JpQ8pWIkysMpkDLV2Hr,1407,337,0,152
34MTPsp6KiySHdL0lFHQlB,1610,540,8,21
4U096BiHrDCa1ACXtEPoXW,1211,141,22,147
2evRcqkyzWqaD9DJtP2oaU,1099,31,48,266
5hkjlU7sUcZb9wOYd1eRBE,1022,-43,75,186
6SwRhMLwNqEi6alNPVG00n,1064,0,3,22
6HZILIRieu8S0iqY8kIKhj,1064,0,3,45
1n4jwRVXdkK2U34nBDUKKT,1064,0,0,3
4iYRa2btalAzPZoSYfROqF,1064,0,3,2
1EaKU4dMbesXXd3BrLCtYG,1064,0,3,10
4BHSjbYylfOH5WAGusDyni,1064,0,3,2
77TElJdpImw8cSv6t4mCIr,1073,9,44,109
7hNWCeogUrUGaQkjUQRxYg,1148,84,0,30
6IZvVAP7VPPnsGX6bvgkqg,1064,0,3,2
2LTlO3NuNVN70lp2ZbVswF,1064,0,3,1
06FCvd7rrRcF3DdvWH5Isp,1064,1,2,1
0tnkjhlQ1mBg8s5guCo9fs,1204,141,61,82
51PIvodunv6NmX5250zxAh,1062,0,1,150
5CtI0qwDJkDQGwXD1H1cLb,1061,0,3,280
6PGoSes0D9eUDeeAafB2As,1064,3,0,3
2YMyVYNLmFDD0KGtNkkgFa,1064,4,0,15
0w5Bdu51Ka25Pf3hojsKHh,1036,-23,2,48
5LYQSNHZxEA880URXFHg6h,1059,0,1,39
5x2x2j2s1wuQu9qlwL1Gmi,1078,19,0,18
79cuOz3SPQTuFrp8WgftAu,1058,0,151,287
0lwrkYbCwtAWTI0OIWEnd6,1060,2,124,65
1J0iYsJuVhqfDhBoSLuO9A,1156,98,94,15
2jq2SaLa7BeUtU6Lx9bxGU,1264,207,248,146
2zoU18FBy1n2TedQzJBuE4,1078,21,8,28
1Eck97uRMlprKOOJN9oO1E,1093,39,24,7
44mr3ypWNHa0inr3heiOb2,1052,0,72,352
3DXncPQOG4VBw3QHh3S817,995,-55,39,182
0tKcYR2II1VCQWT79i5NrW,994,-56,60,239
61WbtB6ujkpNAsAf5LjF4b,1008,-42,0,110
2Gl0FzuLxflY6nPifJp5Dr,1050,0,20,97
06eVN1CrMUG6ErSjHw1jhb,1050,0,0,0
7oo3L1ZPEQSavDVSnlOvDa,16143,15095,1,0
0BoCuzEjDEcULyknBHf3Ii,16143,15095,1,0
1UsAjRCSavihMYsspqJz4e,16143,15095,1,0
6lCcA1ugWuQPBCHXecSwc8,16143,15095,1,0
09hQbo0PphvZ7y3ZZK9AJw,1071,24,3,21
5ELRkzdzz0HvGpMDlfZHkV,1071,24,10,0
6gpcs5eMhJwax4mIfKDYQk,1113,66,1,17
0qYTZCo5Bwh1nsUFGZP3zn,1057,10,93,224
4iLqG9SeJSnt0cSPICSjxv,1058,11,36,338
0Kr77AosR2k944IhHm8zhH,NA,NA,0,31
72Q0FQQo32KJloivv5xge2,1051,4,16,18
5ndfVSDyPq90jaIUhNPeby,1127,80,1,33
1WniHvhq9zTkny0WvGXX8o,NA,NA,10,14
14oOKFGuXu8DqvOe1W8vao,1050,3,1,33
0KR2W3St74th8z3LS94Ffh,1057,10,3,6
1WC5UN1U79gJlxGLYDGIO7,1107,60,2,32
1mDGDb2fUmUMdqV3tb8VKQ,1074,27,17,14
5hHudNsfZXmdgefWxAX2LG,1059,12,2,8
4Sg0RUi010K0w7WVEJMuU8,1183,136,6,18
01Wh1O5hJVX2fyoAe8XjYE,1092,45,13,11
56lBX2WHqfGuoeZxZvUnVj,1051,4,17,17
6yL2kTsdVwYnGwPkKGtMd5,1393,346,2,26
74Rb8GLoyNYnjDIAnpUuhG,16143,15096,0,0
4QK5WwYwZz7t5hmUDyIoqv,5421,4374,0,0
13sXuI5RjMHm7dz7O3spYs,1046,0,3,6
6OuV4vfyb8v3vGGGksqyKf,1148,102,8,22
7MXVkk9YMctZqd1Srtv4MB,1204,159,0,0
32bqxZEJRJObeNyc8bEiPt,1121,76,14,0
1FiRonMYjuhJEDG2xHFDxH,1302,257,14,0
167NczpNbRF7oWakJaY3Hh,1044,0,14,11
6MQJ0SPApUWxHYQShpZlZb,1045,1,1,0
56RVUAFH9NF8zhTZ5A9KVF,1127,83,0,0
06ZpMjkNdIDKVf3mK29UiC,1043,0,10,413
3KK3nLgrRdycpnYxPDVfMV,1060,17,0,0
61FxpGhozNDbcNixAeYMge,1043,0,0,0
1xa5pXOwLoxHuBDU0JiUdn,1044,1,0,0
0W0kyk4HQ6J37rp6RhRsz5,1408,365,0,1
2Q4zHSJgtlc9mWoWQXpSJX,1066,24,49,73
3tt3I9mPj6DmGN1UNkG9ri,1043,2,0,0
2eMwDehkIC1j68U6FA3Eiq,1085,45,71,37
5pD9x23lsoQr464mlmaKNJ,1127,89,0,0
5mCPDVBb16L4XQwDdbRUpz,1091,53,0,0
2habSXqcJGExM6JJyskY7O,1037,0,1,139
5kRPPEWFJIMox5qIkQkiz5,1036,0,0,27
4B1rpPmQXwj78wk6aIGwwU,1036,0,0,3
66O1SfDryBYk9i3RcV5AXq,1036,0,2,109
3FDrI0FLKzrYQiWxPhqV2W,1036,0,6,7
3Dwq1oiOFys6Sxr5SslmXw,1036,0,0,3
4u9Y4Z9i9VaAbBK7rW1Rha,1036,0,0,3
33SNO8AaciGbNaQFkxvPrW,1036,0,0,1
5Lbsc65org0b85kNsPkluY,1036,0,0,1
7BpYWzZwrsljT1eIjb0TqR,1036,0,0,3
5LABCxgmP7DATATIJXOh6n,1036,0,0,1
33bURv895AN4FkBvgFo2dx,1036,0,0,1
4izg6Hydc6XGErWW6nbdsV,1039,3,0,13
2RJfK2pOvGpnxC255YOy5k,1036,0,0,0
1IF5UcqRO42D12vYwceOY6,1036,0,0,1
6t44iU80A0h8WQ7vc4OoRj,1036,0,0,0
74ABBu8osxqmuFOAKcWWpG,1036,0,0,0
2EcQY09CYgJ1qk6H1qZf8h,1036,0,0,0
3c6gJgXzy4na0NWlIEUpKt,1038,2,0,0
6arll1Y1aPC7FZqZsHnSsP,1036,1,56,19
05QeyKGAn4TZrv41tMiD1A,1036,2,1,27
7JlIR1mle1FsPI6TQMaBPi,1042,8,0,0
39IsH7B5byx8NRlEKlZVg9,1106,76,7,0
2EoOZnxNgtmZaD8uUmz2nD,9501,8471,0,0
1F2HXIJrE2Xn81OzT2zZvW,NA,NA,48,8
1sCxVKWImDZSZKvG0U9B23,1030,0,0,144
2xt2piJx6jlFkjS77YiqpL,NA,NA,0,2
2mfUa8bLs2s5N4VaqJZ4lZ,1050,20,0,2
4Q5yMlwAfAoitqg4r9oZHN,1050,20,0,7
21tuvt3CXIsNquc32v8jpc,NA,NA,0,0
5tz69p7tJuGPeMGwNTxYuV,1043,13,159,106
6XOYVSmNDjKUNMXooU4s4z,1050,20,0,0
4OCzAGgyWsUKpdWufYywZm,NA,NA,0,0
7r9ZTgy31yObGZE6ZYDlQg,5550,4520,0,0
02LZ1fGJE8fB56yTlCVMEV,1029,0,0,112
1SJtlNRJDeYHioymcvsqev,1030,1,0,203
3VRk65lHSwqd90TAkQqhvB,1030,1,0,16
4Ro98RCK90oHqqSZUnTFq5,1030,1,0,61
7l4DyFrK2CpW9Fdpzaio8r,1029,0,50,12
6oaUl6NHcfCU0rwmCDrYe1,1029,0,0,6
7nAfXgeHfDO50upcOjJOaq,1029,0,0,63
2srL4DYBekshpbprS6H0mO,1092,65,134,806
3NgCzSW98SsqBdpYcnm4kv,1027,0,1,17
6EpRaXYhGOB3fj4V2uDkMJ,1030,4,22,212
5LVWGCl4mjGFXDIvQbOGvr,1099,76,132,221
4c2W3VKsOFoIg2SFaO6DY5,1023,1,75,99
4C5ewaZ05vyXM23jFJdwd4,1022,0,0,6
6jA8HL9i4QGzsj6fjoxp8Y,1022,0,34,110
5jWL1XZdSeJmwPBBWxHh3e,1022,0,0,0
5voCM4S07vfYxUxLcp1G3R,1022,0,0,0
2ZUbYZPp8Wp0J5hHp1Mn4b,1121,100,85,55
4sVkydp30HWLjOvF2ILbGy,1022,2,75,1
1NDxZ7cFAo481dtYWdrUnR,1107,91,42,27
05rJdH2MRLJ3sQoEUO78qs,1017,1,0,415
3ibRxEv4KkcU9e259eyNJA,1015,-1,62,255
4cxpIEePQYsRDrVG6Q0K6h,1015,-1,0,0
4BjPsq3MXBNo4Qxg40igEr,1045,31,69,282
5gUFvcHTgDNthj7DmZl2L7,1016,2,46,13
7LEydI5NfjY6mZfKwYIptZ,1016,2,0,69
24putRJqkmdXxfKq5OI4TC,1015,1,1,84
0C7RxcoJUdt0EDtQLuOFc6,1015,1,0,1
3Ytr1SUCUi6J3L9dRFx5iH,1017,3,5,81
1bEtvMQ0iUiwxI8Q909WJZ,1015,1,36,11
0PGQFIxe8kC5IAdNfAOtEM,1016,2,0,1
4Ti7WdCbPoxBBURxuY6sT9,1129,116,21,190
2g2ZjM1GjY9Lf2Ff0L94Ul,980,-32,10,558
39vJqbfolMyPJtJuyoj1EM,959,-53,110,176
6pSYjx66rlqRmGGTHhnjCo,1023,11,39,536
5xVJU6DJHnmHnbbKS56yCC,1050,38,140,567
0r0U9AcE4LP0QzJQDUUlXP,966,-46,118,259
5ac0YTpOaDX9wEYYyGCglL,966,-46,132,455
2kVHAQKVtczchKctctzbtK,1008,-4,4,153
7i2DJ88J7jQ8K7zqFX2fW8,1015,3,1,100
3bp5fh0qPmCqC5PWEewFkm,959,-53,113,176
11EDhDAVDtGPoSar6ootYA,1015,3,0,14
3B54sVLJ402zGa6Xm4YGNe,973,-39,45,172
6D0b04NJIKfEMg040WioJQ,959,-53,1,16
7bJwvubZZaoGE1AGEfu8Fi,2031,1019,0,0
0NiXXAI876aGImAd6rTj8w,973,-39,88,56
6zZw7RPIs3IxDghP4UvWcY,1008,0,65,210
0TvQLMecTE8utzoNmvXRbK,2263,1255,0,27
4mJDfMcT7odIUjWlb2WO4L,1010,2,0,0
253rM8bzLuRZSH8N5Z3yox,1008,0,2,0
3fVnlF4pGqWI9flVENcT28,2263,1255,0,0
3A7qX2QjDlPnazUsRk5y0M,1008,0,0,224
7iz4bsfPOrK9wzhXkgUfya,1008,0,0,6
5jhF4d9nxIm1P58WQCCa5h,1008,0,0,3
7nY0TjOsD1BZehkZgLiOxO,1008,0,0,2
5q9stUg2W38X9PyzgIOdhH,1008,0,0,1
1uECcHHBhsqoie0s5qaqx0,1008,0,0,1
1u8c2t2Cy7UBoG4ArRcF5g,2263,1255,0,1
0IsEC63UeGToLbwQVlbilu,1008,0,0,0
3YjGBw910aEg6PkNjYqyCU,1008,0,0,5
5ciT1HuQvYJMxEIasAdySF,1008,0,0,0
7jd3HUqESk12Qiwceb7kKf,1008,0,0,0
2mNbgyi0gori4b1rFSPgIb,1001,-7,7,6
08nllpWqKceY9vtmVSrz9j,1008,0,0,0
0ug5NqcwcFR2xrfTkc7k8e,2263,1255,0,0
6Dhw6szvLCCx8KszHO7Csy,1008,0,0,0
0cqRj7pUJDkTCEsJkx8snD,2263,1255,0,0
2GmG6CBIADDF6nIgwdWNQq,1008,0,0,0
2mL3B5GilTm4dUT6P8LVpd,1073,66,89,332
4F6wWmmWUG7MxMp0Yva7Qk,1005,0,24,222
3ao5U0ksMLvgSoJqOpsgmv,1087,84,67,200
5bcTCxgc7xVfSaMV3RuVke,987,-14,77,222
1OAh8uOEOvTDqkKFsKksCi,995,-6,34,260
12o6dxWGk29uIAP3OWY0pM,1001,0,0,48
5r011NB07RHjABbuVGVIbd,1001,0,0,5
0wVGdVXKpv5d93SWQF9XBr,1005,4,0,20
1Dp7JGFNjvg8Nk0CtMCcnr,1001,0,0,3
1wC93sZRGcTgKLN2UWRSwW,1001,0,0,6
54ucfuN596MU25jQD3KjCL,1001,0,0,3
193Dm5SqYy3hTSbuzxbwKc,1001,0,0,1
0dyiHoYbYjYaOEXLpmzQZG,1001,0,0,1
0XfOi87h82i09rQjWYG0Bm,1001,0,0,0
4gDyoe1FImDlXVt58ssnMf,1002,1,0,28
6lFDB0BFDRV58qaQDX85jV,1001,0,0,0
6jmngk8Fwup05JZ6kgXEGX,994,-7,7,4
4BcWcZoludxrNoPUw5napp,1156,157,44,6
2wc8HF4fqX4oPBuZnadO8t,1008,10,62,182
4IWAyPf1KMq7JCyGeCjTeH,994,-4,7,79
3j7FDNUqIMWKaji6PK5SyF,1019,21,132,182
5knrAEjUMh6T2kDCN7YD2b,1008,14,70,222
15dnkAHcHC0vrIUlbiPiqU,994,0,0,6
7abpmGpF7PGep2rDU68GBR,1309,315,35,35
7vAXN57IQ0sj049wZGIboE,994,0,0,0
4vv1KjUzPwrtDbozizSfQc,995,1,0,0
54h8xHewdRPnYzmbEHBhOO,994,0,0,0
5EnYT6F7wEcdege6mDHEfO,994,2,4,36
6A569zyv8nT8xyFYYGqC6C,1101,110,78,0
3PEgB3fkiojxms35ntsTgs,959,-32,58,113
5UJshy5HDHdNEVqlJwzsQB,990,3,0,6
7iDxZ5Cd0Yg08d4fI5WVtG,987,0,0,1
6Na5uKk5SsqZimk0hAWo8y,994,7,4,4
2rb5MvYT7ZIxbKW5hfcHx8,987,0,55,228
4xlrALxuaCf9yZBHJeTSG6,1043,56,4,9
0lMbuWUpfTWhEmOKxppEau,987,0,0,3
6De0lHrwBfPfrhorm9q1Xl,1001,17,84,108
4q8PHoRsPUB52LFylX8Ulz,1024,41,23,0
79NlESqzFSW0hdBWgls4FX,981,0,1,11
2x67AU9q3lf7cfPSzxCDsL,980,0,40,503
6zgtb7ZZMwljosb3TLoPdI,980,0,4,167
3A1LphuJ5lQD6NjPtxtYFh,980,0,401,135
3X5zRkzlpTiajlkI9QXQUz,980,0,85,365
4LEYwetkPaBeTXFdw9TG0h,1022,42,0,0
72p0NT5slW7y2YmOyB8fzH,980,0,0,0
1CKd1PnqfYx0H12V9MSaIY,981,1,0,21
41giJO7qvEwRzG2SV4FMOt,980,0,4,167
2RL74ODWD3YGcHIhNeJvNN,980,0,4,180
3sumxZ7PZz77L4QLtbht6V,980,0,4,34
2TihKW8ShdEEhKN3PSDEIq,980,1,341,194
2ekn2ttSfGqwhhate0LSR0,1015,37,106,360
3hjGB7hru53bL066kPSCro,980,3,1,167
5Qkc85rI8lcfiv08vO82El,980,3,1,8
3mvE3LbkskNnoK5p38Rvlv,980,3,1,8
25C5CowdsfXld2jJanbiex,976,0,0,79
5JDdzBawkk5UayooiFl5lM,980,4,0,0
0XLOf9LhyazPX9Ld8jPiUq,974,0,1,201
2Ny6TS3vPVwx5PlJXXkLUW,975,1,0,0
35dgKHT2TLjpXAIFUPlGv2,975,1,1,0
6ALXhCtReKYxst5J0hWE2z,973,0,3,10
7wsm2QsZansrVnWmDsWs1w,973,0,30,80
5wIeuNURiubue1VTcglU57,974,1,0,0
6uJwPeBGb3swi85TSr9iIz,974,1,0,0
4GEQd6D1NeNjpf0pbOgJSO,973,2,1,2
60a0Rd6pjrkxjPbaKzXjfq,7080,6113,1,81
2nLtzopw4rPReszdYBJU6h,6199,5232,1,76
3xXBsjrbG1xQIm1xv1cKOt,1029,62,1,5
5sNESr6pQfIhL3krM8CtZn,5582,4615,1,1
4JAyIDXOqNM6qHuZML01uX,970,3,0,1
3RXkboS74UYzN14xTqzPyY,973,6,0,1
3eFJqPe8VUYrABbFjSauuj,970,3,0,1
3bVbQvGVIe4n24AzyXovXh,970,3,0,1
4kfm1uI9QGaoN9qm6CkAMn,4690,3723,1,5
650OeHTLxZAQmb4aEbGmaA,1029,62,1,0
7F9vK8hNFMml4GtHsaXui6,966,0,0,112
7oVEtyuv9NBmnytsCIsY5I,2823,1857,0,1
3K4HG9evC7dg3N0R9cYqk4,7080,6114,0,1
1Vej0qeQ3ioKwpI6FUbRv1,7080,6114,0,0
3BbnFRvRRlw3JN56J5ZpUj,966,0,0,1
0CYDYDMUwyFYEBMWfbxozX,966,0,0,1
0mt02gJ425Xjm7c3jYkOBn,966,0,0,248
0T8qHE4gQPf8g9KjvjNmDq,966,0,0,4
17J2BpdU8WURN4dVk3D3Tw,966,0,0,1
1yFiaFeSLpw4nDYTeErRZ6,4690,3724,0,0
57BrRMwf9LrcmuOsyGilwr,7080,6114,0,3
3agtg0x11wPvLIWkYR39nZ,6199,5233,0,0
4Yf5bqU3NK4kNOypcrLYwU,6199,5233,0,0
1sWiWerHnR6J4LNdFxdywM,966,0,0,1
269xqcgGTN9PlivhUkOLhX,966,0,0,1
03hqMhmCZiNKMSPmVabPLP,966,0,0,1
3qmvK8QARSPkFTuKeIXSbs,4690,3724,0,0
6waLZw9qNP36DtHFPeyTz6,967,1,66,176
6n8TMVyFKoUmDc4apxceRD,6199,5233,0,0
12PQ6KbFqC7xCsqDV8bmpb,966,0,0,0
3O7p9Itz8PXUoAjD2vmuM6,966,0,0,0
3kEoNRT0dfLik1bbHA2QS7,966,0,0,0
3dJj6o9o1fRgrojWjailuz,1029,63,0,0
0dssTLrqY79Klk6jx2RXCj,966,0,0,0
2EBJnP9vf54QE95910Lvrw,966,0,0,0
60IkVf7UfQXmt5CwkpcX8a,6199,5233,0,0
049vXERjilfrN8WoXG8zPt,966,0,0,0
6OocN63GLU7NF0wHdewhID,1029,63,0,0
6Br5mChPdgQNmLF0G0gjPH,969,4,1,0
4mq14Qa6OehdiyZFtHcdCH,966,2,0,4
4L7Y2OAPiY2I2GndZjAs5K,966,2,1,7
6eGMMPRVYzpssGgednRvzU,966,2,0,3
4xyNG8vZR3g8FnphVkbjRo,966,2,1,1
2Pn76oik9rWyoBShTSNY9Q,966,2,0,1
3tWa5qmAJ2OsHV6KxNZBxc,966,2,0,0
7hNFi83UsOQlRfZWG3P5OG,1057,95,0,1
0Chw8wzV8Fyjv8ahoCIr7u,973,12,1,0
5QqyRUZeBE04yJxsD1OC0I,966,5,0,0
1URLs1xoKl8RioSvbfZ6aL,959,0,0,0
6EbWh7j1nLYNd2Gqlqvrc3,959,0,50,225
7yYOMPwpV5CsK0cxoAZT6B,959,0,36,288
7vxMtIwEn1bUKTqPKEMzJJ,959,0,25,310
2JnvMToHG03X15PR6Z9DeA,959,0,19,267
1C13CY3BoB8imJBjV9E3jT,998,39,93,107
6CS7Z9x8DrfR5NPiLUFXMY,1152,194,36,2
0ofbQMrRDsUaVKq2mGLEAb,953,0,99,62
4xBjsLUSjcx2h7PcRikpQp,953,0,1,68
3SdYnX1212sx5X0N4Lj3Vb,952,0,63,160
7iB72vyGDEcc232lctJdgL,952,0,0,4
3HVr6jTVwBHBa2flM0eURR,1002,50,5,43
6LnGwyHtgWPiogv6tB9TqI,952,0,42,155
6SyanVgX0iSgJsBi09lzgE,952,0,0,84
0ihMkv4Usn03EEEF8Rlw22,952,0,218,152
3KSj0znpvfGKrBzEoE8gcL,952,0,0,0
6QgjcU0zLnzq5OrUoSZ3OK,1001,53,76,121
3zDNvfOirISKzV3I6tSRN1,1156,208,5,7
2wBr59j9see3tGF9Haxbo3,948,0,0,43
65RwAcaZdljQP95amVlFu7,1156,208,9,3
1eFlkymohjGtRnnYGabg8s,946,0,0,14
3KYlOzxN5xO7eEauO1VF06,6646,5700,0,3
2GplG03rw0CN2EMLzPJZAl,6646,5700,0,0
29gzL5AuR0UB4CRfk9iCt3,946,0,0,3
09KlDlkOYuC5x6hOaM7vaP,946,0,1,13
4ratJIH2nOMtOWJ1RePniD,946,0,0,2
2VpihVmPPj750E4EVyAYrs,946,0,0,2
18fTEyZ41dkbaZLFkWi1UK,6646,5700,0,0
7HmG9JYyzi7AmTvbdexqkS,6646,5700,0,0
6WbADFqMvR8N5u0BvtsWQE,946,1,252,14
0jdny0dhgjUwoIp5GkqEaA,945,0,3,3
31MkGwj0SWgZaTvEt5Hgxv,946,1,41,21
1kJtfldK9F7XmsSiSNlbth,945,0,0,0
6PEdCE0cepdEqbUmAiyFUN,966,22,135,83
5JZlDZzWPbrYwMHmnOQO3U,952,9,27,278
1PjWD4LhKbWW908dkGy9dT,1330,387,0,0
2P5Hd3ghYMY5PT9yR73gR3,952,10,63,30
1BuSbqff6EcL8gkdkjaB63,963,21,21,359
2UMMy3ZyQmw5fqnmeaVki8,940,0,0,34
7iNIg7XDEaYECfWD5dJ9Va,939,0,0,57
7vGuf3Y35N4wmASOKLUVVU,945,7,34,214
7nZmah2llfvLDiUjm0kiyz,939,1,0,182
0B48113ZG9UfkWWt7qD9xX,939,1,0,3
3zoYkqS4y2BsGVShPL2nTE,938,0,0,97
4Ju3eLAfkGE41pVuMbzoWz,942,4,0,0
1XCKlzIqaehohdUTihetGN,941,3,68,473
4jMHEckO9hjPFHobn4lifZ,966,29,128,7
5zSiXA70xM4kuSt6qim6jl,935,0,19,204
4kkQGhScJDzNIIGavQE9SN,935,0,46,205
6TtEsPJua1fXgiaYSjo4JD,1063,128,70,142
65MOTX6uSFAnqXl7dlAuId,932,0,1,6
5lLKJdDPy7qbsta6d88lKE,931,0,7,325
20H2Hd5AkUcRjB4yL3UQtJ,931,0,0,12
6X5jBkAFu7HE3jigdoVW3r,932,1,69,280
2VjtYe7gpfUi2OkGxR2O2z,932,1,0,3
0m2orA1i5lLZUOt9XLwSd0,931,0,0,73
16FcjJG7qeajF19TmB8Dqm,931,0,0,47
0zsAfJQ1ZEhEjvBlYl9wMk,931,0,0,1
12SCPvDuy54Tl8H2jSELxF,931,0,0,1
48rcF4CgseJHkUEfqfj3pb,931,0,0,1
7JrgabR0vmTyxZ3I7QJ1Gq,931,0,0,1
3m4XbBaYnLPY6GPFSNN4s0,931,0,0,0
7GX5flRQZVHRAGd6B4TmDO,931,0,60,128
4atzZemOqIOfY3RNAyoUCr,931,0,0,0
369itlS8j94XNETwelNotd,931,0,0,0
5vFshmrfuOng89bVtW33J9,933,2,0,0
6yjjLcsfNqubWe5ecdTrd8,931,0,7,7
007QSAaELpVxtX5Z6dMn0U,966,37,120,27
5Z3GHaZ6ec9bsiI5BenrbY,1051,123,51,51
5JEVbp6mX3umfQePbnN3sE,938,11,0,0
6uFsE1JgZ20EXyU0JQZbUR,932,5,0,93
7m9OqQk4RVRkw9JJdeAw96,931,5,293,34
4mxWSdf71VFO52qFeY0fZt,926,1,18,45
6YVpU5vVxezJCYeQUxIkRT,926,2,0,0
6gxcySGdwlisjOUGYmJmB8,924,0,49,120
7aF09WaavZAmAWuUeYxlYD,973,49,0,0
1CgCByq2FZ0re09niAo6p2,931,7,0,0
57p8CBvPOxrvyCbn6ttl5r,961,37,0,0
5aLvtKo9672scTVdEwXPTg,924,1,56,197
1hnGRSqLdeLB7x7kdDuizq,924,1,114,189
0GZKxI1iCyGHLxHmCNUIgr,922,0,0,0
19WjVVgXjdKXfLXoaDPwTM,922,0,0,74
7vgNGxchhqDQWjKjLPTPro,962,41,47,302
7zgqtptZvhf8GEmdsM2vp2,922,1,0,4
3YeY4NnyJENxOb0Pi1f3x7,921,0,0,113
6875MeXyCW0wLyT72Eetmo,1302,381,2,49
2AUvXXgYuNFJMCPdhxONfa,946,27,18,175
0pDaqgIForVNO4jrtTxcWT,984,65,56,366
04uZ473b5Y7syygehiQU7G,946,27,1,159
3e8bStwZIEmcql2KskqrCB,946,27,3,55
4MBS01zB5I96t3XcfkpKKm,946,27,3,55
1j4kHkkpqZRBwE0A4CN4Yv,918,0,5,258
0mel2N9Ws9r4yLQn5QE21Y,917,0,4,51
0Lo4X8h0CWGbjceAbYQpOg,937,20,1,0
4I39irD0xSyfRA099AsWow,917,0,0,0
0txKncaaAxyilGGLw5ll8F,918,1,0,0
6UUS7Dvp308bAqrs5iLV9P,917,0,0,0
7oAraczbemGSNWqnbkU87R,917,1,0,1
7knOtdRwbbvP55B6KB2xvv,952,36,67,127
1wgD52FywIwdnLdV2Fa8NK,987,71,246,50
1dVbxcUqGGEd9oBWUCwmfb,1022,106,7,1
7oL5604ifW7DAmLVf8XYDt,924,8,7,19
1fbenbaBdr8ppDeGMOX121,938,22,25,98
7f0OQD12uYSId1zXK3RRI1,921,7,0,3
7AQim7LbvFVZJE3O8TYgf2,931,17,281,13
1uJvq5WsL8XlVxAm4jwea3,986,73,49,35
57AmbM2loMyozAU1kjW308,1101,189,21,204
2NkbRmygVirMQFCjSkyY7Q,911,1,0,0
3kdMzXOcrDIdSWLdONHNK5,910,0,0,0
0J6mQxEZnlRt9ymzFntA6z,12490,11580,8,2
4llK75pXNWZz6KAho2Gp16,NA,NA,2,4
6JSryEdVJTZq6YBn3wK2sn,910,0,0,0
1wLQwg0mloy3yXjL0jPE0N,910,0,0,0
16pwlVsypm4aDKMhXdOuXg,1761,851,2,4
1504k2wy349EtgioaW78Ht,994,85,113,120
3hRZsdTF5uyGA2uhNqEuhm,911,2,16,17
4gbVRS8gloEluzf0GzDOFc,1764,855,1,3
1OmcAT5Y8eg5bUPv9qJT4R,910,2,23,129
1XGmzt0PVuFgQYYnV2It7A,2994,2086,1,2
6ECp64rv50XVz93WvxXMGF,NA,NA,0,1
7pYfyrMNPn3wtoCyqcTVoI,NA,NA,0,1
5SE57ljOIUJ1ybL9U6CuBH,907,0,0,71
6EFIK4B0jrvLO096QYEhnX,910,3,251,103
2tdq0CeAGSfhI2l4Gwkvgx,907,0,0,2
5nq1uTNIR1cBR72T87viS0,907,0,0,1
4rHZZAmHpZrA3iH5zx8frV,2555,1648,0,0
3ryjLm3oupIjJFGc39naNi,907,0,0,1
0ffweDHrg4bZqdG4IfGYuo,907,0,0,1
7iV733e1KacKrFRaBNxVEf,907,0,0,1
2SYa5Lx1uoCvyDIW4oee9b,907,0,0,0
3l8yQMdniG6Os8gUBNXV57,907,0,0,0
0O45fw2L5vsWpdsOdXwNAR,4931,4024,0,0
5MxNLUsfh7uzROypsoO5qe,17234,16331,0,2
0c1gHntWjKD7QShC8s99sq,7878,6975,0,0
2Za1AlJNvksouPPWbXpR2X,903,0,0,0
5kXCVnfbxfq5nKjAVvj3no,903,0,0,0
0CokSRCu5hZgPxcZBaEzVE,903,0,3,66
2GAk5QR2x50C9SsmvwcPQc,903,0,0,0
7o2CTH4ctstm8TNelqjb51,12125,11223,1,665
0bVtevEgtDIeRjCJbK3Lmv,12125,11224,0,1
48UPSzbZjgc449aqz8bxox,7584,6683,1,206
3ZOEytgrvLwQaqXreDs2Jx,6457,5556,1,6
6ZR7rT7vfwtY0EqyLeyAaO,965,64,90,374
64BbK9SFKH2jk86U3dGj2P,7584,6683,1,1
3d9DChrdc6BOeFsbrZ3Is0,10398,9498,0,6
2oaK4JLVnmRGIO9ytBE1bt,1365,465,0,1
2771LMNxwf62FTAdpJMQfM,1001,101,3,32
1G391cbiT3v3Cywg8T7DM1,7584,6684,0,0
10Nmj3JCNoMeBQ87uw5j8k,5057,4157,0,0
2aibwv5hGXSgw7Yru8IYTO,5057,4157,0,1
3GVkPk8mqxz0itaAriG1L7,931,32,266,10
7fwXWKdDNI5IutOMc5OKYw,897,1,0,175
1UZOjK1BwmwWU14Erba9CZ,896,0,0,4
43RG7aUiRDmfc8q2vQfiFc,896,0,0,0
71P1N0X76YtZMbBIGG47un,896,0,7,2
4iyH6JZBZjk3htdJdZ6r51,896,0,0,3
5Htb1uFQ1KrkFXlefS8oGj,896,0,0,167
38Ncs9ZEzJzd1ypUjNPsb5,896,0,0,1
270nmdCrJaFwO9y9sFso9R,896,0,0,1
4DFmlBKzcCDc6vtofC68ad,896,0,0,1
4Qo1Au6jayUL4UOaJQrjpi,896,0,0,1
6zyXWcXGiyl3HHTR5s9bw2,896,0,0,1
1tuaOp1CwQnUeGC2U1s4bH,896,0,0,0
6hK16WlLi7UaHevGhn4HvJ,896,0,0,0
742YV8T9ZyczCNdrTIAhaw,896,0,0,0
7uf1Eoz7VtItE8COeZxYSS,896,0,0,0
2fGxYYMQbVqgIdaqfz2OwA,896,0,0,0
07JgtBIro5V7J0XB7nChMb,896,0,0,0
